batch,dpi,VL,Survival_rate
1,0,9.39E+01,98.28%
1,1,1.26E+02,88.46%
1,2,3.05E+06,98.78%
1,3,1.10E+06,97.18%
1,4,1.25E+05,100.00%
1,5,1.13E+04,100.00%
1,6,2.66E+03,100.00%
1,7,3.94E+02,100.00%
2,0,1.32E+01,59.00%
2,1,1.44E+01,97.96%
2,2,5.07E+03,100.00%
2,3,2.83E+06,96.43%
2,4,2.49E+05,100.00%
2,5,1.64E+05,100.00%
2,6,1.46E+05,100.00%
2,7,1.66E+04,100.00%
3,0,1.48E+01,98.00%
3,1,1.54E+01,84.09%
3,2,6.05E+03,84.38%
3,3,1.83E+06,100.00%
3,4,1.43E+05,100.00%
3,5,1.25E+05,100.00%
3,6,7.55E+04,100.00%
3,7,2.12E+03,100.00%
4,0,4.45E+01,41.67%
4,1,2.21E+02,91.43%
4,2,6.97E+04,100.00%
4,3,3.13E+06,100.00%
4,4,6.24E+05,100.00%
4,5,3.80E+05,100.00%
4,6,4.42E+03,100.00%
4,7,6.30E+02,100.00%
5,0,2.84E+01,96.00%
5,1,3.46E+02,88.54%
5,2,2.87E+04,94.12%
5,3,1.05E+06,98.75%
5,4,5.45E+05,100.00%
5,5,3.52E+05,100.00%
5,6,4.04E+05,100.00%
5,7,7.58E+04,100.00%
