batch,dpi,VL,Survival_rate
1,0,2.04E+02,91.18%
1,1,8.25E+01,85.16%
1,2,5.66E+04,83.33%
1,3,2.36E+08,98.18%
1,4,7.51E+07,100.00%
1,5,2.61E+06,100.00%
1,6,8.79E+05,100.00%
1,7,1.35E+04,100.00%
2,0,7.30E+01,49.17%
2,1,2.76E+02,49.15%
2,2,1.45E+05,96.55%
2,3,2.07E+08,96.43%
2,4,4.55E+06,100.00%
3,0,2.04E+01,97.00%
3,1,1.94E+05,91.75%
3,2,1.07E+08,96.63%
3,3,2.65E+07,96.51%
3,4,6.88E+06,100.00%
3,5,4.99E+06,100.00%
3,6,9.70E+05,100.00%
3,7,7.95E+04,100.00%
4,0,2.60E+01,98.08%
4,1,3.34E+01,99.02%
4,2,7.94E+06,96.04%
4,3,1.29E+07,92.78%
4,4,1.50E+07,100.00%
4,5,5.51E+06,100.00%
4,6,2.42E+05,100.00%
4,7,1.13E+04,100.00%
5,0,2.70E+01,95.89%
5,1,1.18E+02,90.00%
5,2,3.17E+05,96.83%
5,3,3.15E+07,95.08%
5,4,1.07E+07,100.00%
5,5,2.00E+07,100.00%
5,6,6.54E+05,100.00%
5,7,1.43E+05,100.00%
6,0,2.47E+01,95.95%
6,1,6.34E+01,84.51%
6,2,2.51E+06,96.67%
6,3,8.41E+06,91.38%
6,4,1.52E+07,100.00%
6,5,4.11E+06,100.00%
6,6,1.36E+06,100.00%
6,7,9.15E+04,100.00%
7,0,7.64E+00,96.00%
7,1,2.70E+01,90.63%
7,2,2.11E+07,97.70%
7,3,7.60E+07,97.65%
7,4,3.52E+06,100.00%
7,5,8.78E+05,100.00%
7,6,5.47E+05,100.00%
7,7,5.38E+03,100.00%
