batch,dpi,VL,Survival_rate
1,0,8.14E+01,100.00%
1,1,1.19E+04,71.43%
1,2,5.36E+07,97.33%
1,3,5.74E+07,91.78%
1,4,3.67E+06,100.00%
1,5,3.48E+05,100.00%
1,6,3.19E+01,100.00%
1,7,7.34E+00,100.00%
2,0,8.88E+01,100.00%
2,1,4.21E+02,96.00%
2,2,8.05E+06,97.92%
2,3,1.67E+07,98.94%
2,4,1.01E+06,98.44%
2,5,6.52E+06,100.00%
2,6,2.12E+02,100.00%
2,7,2.55E+02,100.00%
3,0,8.66E-01,99.17%
3,1,4.55E+01,94.96%
3,2,6.62E+07,100.00%
3,3,9.23E+07,100.00%
3,4,2.22E+06,100.00%
3,5,2.45E+05,100.00%
3,6,3.55E+02,100.00%
4,0,1.06E+01,58.97%
4,1,4.55E+01,95.65%
4,2,6.62E+07,100.00%
4,3,1.29E+07,95.45%
4,4,2.89E+06,100.00%
4,5,1.32E+06,100.00%
4,6,8.93E+03,100.00%
4,7,3.94E+02,100.00%
5,0,7.43E+01,93.04%
5,1,2.56E+02,96.26%
5,2,1.55E+04,100.00%
5,3,2.64E+07,99.03%
5,4,1.11E+06,100.00%
5,5,2.51E+05,100.00%
5,6,2.19E+02,100.00%
5,7,1.02E+01,100.00%
6,0,2.11E+02,85.00%
6,1,3.52E+03,88.00%
6,2,9.26E+05,100.00%
6,3,2.54E+07,100.00%
6,4,1.53E+06,100.00%
6,5,2.13E+05,100.00%
6,6,1.25E+04,100.00%
6,7,2.35E+02,100.00%
