batch,dpi,VL,Survival_rate
1,0,4.44E+01,97.22%
1,1,1.77E+05,92.57%
1,2,7.30E+07,88.89%
1,3,2.07E+08,99.31%
1,4,4.13E+07,100.00%
1,5,5.51E+06,100.00%
1,6,5.31E+03,100.00%
1,7,5.30E+04,100.00%
2,0,3.61E+02,94.00%
2,1,7.28E+03,34.04%
2,2,3.65E+07,100.00%
3,0,8.31E+01,97.32%
3,1,1.61E+04,99.08%
3,2,2.04E+08,98.15%
3,3,7.35E+07,100.00%
3,4,4.31E+07,100.00%
3,5,2.17E+07,100.00%
3,6,4.58E+06,100.00%
3,7,1.67E+06,100.00%
4,0,4.68E+01,100.00%
4,1,6.74E+01,99.00%
4,2,1.84E+05,98.99%
4,3,2.18E+08,98.98%
4,4,9.85E+07,100.00%
4,5,4.67E+07,100.00%
4,6,2.14E+07,100.00%
4,7,5.14E+06,100.00%
5,0,7.08E+01,100.00%
5,1,4.68E+01,98.00%
5,2,8.55E+06,100.00%
5,3,4.30E+07,100.00%
5,4,3.04E+06,100.00%
5,5,1.67E+06,100.00%
5,6,7.89E+05,100.00%
5,7,1.90E+03,100.00%
6,0,7.39E+01,83.33%
6,1,3.51E+03,97.00%
6,2,1.98E+07,98.97%
6,3,8.02E+07,98.96%
6,4,3.03E+06,100.00%
6,5,6.31E+06,100.00%
6,6,3.12E+03,100.00%
6,7,9.35E+02,100.00%
